"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch","[0] CompanyNameComparatorLevenshteinSimilarity record1Value","[0] CompanyNameComparatorLevenshteinSimilarity record2Value","[0] CompanyNameComparatorLevenshteinSimilarity record1PreprocessedValue","[0] CompanyNameComparatorLevenshteinSimilarity record2PreprocessedValue","[0] CompanyNameComparatorLevenshteinSimilarity similarity","[0] CompanyNameComparatorLevenshteinSimilarity postproccesedSimilarity"
"WekaMatchingRule","dbpedia_5618","7.1m_1217",,"0","Visteon","fannie mae","Visteon","fannie mae","0.09999999999999998","0.09999999999999998"
"WekaMatchingRule","dbpedia_4007","7.1m_1916",,"0","NS Railinfratrust","achmea","NS Railinfratrust","achmea","0.11764705882352944","0.11764705882352944"
"WekaMatchingRule","dbpedia_4009","7.1m_1416",,"0","Politika a.d.","viacom","Politika a.d.","viacom","0.15384615384615385","0.15384615384615385"
"WekaMatchingRule","dbpedia_2802","7.1m_960","1.0","1","Pitney Bowes","pitney bowes","Pitney Bowes","pitney bowes","1.0","1.0"
"WekaMatchingRule","dbpedia_6666","7.1m_1834",,"0","Allegion","b/e aerospace","Allegion","b/e aerospace","0.07692307692307687","0.07692307692307687"
"WekaMatchingRule","dbpedia_4693","7.1m_135",,"0","CMA CGM","cbre","CMA CGM","cbre","0.1428571428571429","0.1428571428571429"
"WekaMatchingRule","dbpedia_6609","7.1m_1239",,"0","Cintra","metro cash and carry","Cintra","metro cash and carry","0.15000000000000002","0.15000000000000002"
"WekaMatchingRule","dbpedia_6434","7.1m_1778",,"0","Edison International","hub international","Edison International","hub international","0.7","0.7"
"WekaMatchingRule","dbpedia_996","7.1m_32138","0.0109375",,"KiK","kidzania","KiK","kidzania","0.25","0.25"
"WekaMatchingRule","dbpedia_2607","7.1m_1971","1.0","1","Asus","asus","Asus","asus","1.0","1.0"
"WekaMatchingRule","dbpedia_1854","7.1m_44",,"0","Slack Technologies","hcl technologies","Slack Technologies","hcl technologies","0.7777777777777778","0.7777777777777778"
"WekaMatchingRule","dbpedia_3958","7.1m_1213","0.0109375",,"TrønderEnergi","transamerica","TrønderEnergi","transamerica","0.3076923076923077","0.3076923076923077"
"WekaMatchingRule","dbpedia_1388","7.1m_769",,"0","SERA Architects","suncor energy","SERA Architects","suncor energy","0.19999999999999996","0.19999999999999996"
"WekaMatchingRule","dbpedia_6645","7.1m_490",,"0","Tesoro Corporation","lear corporation","Tesoro Corporation","lear corporation","0.7777777777777778","0.7777777777777778"
"WekaMatchingRule","dbpedia_6418","7.1m_1254",,"0","Agrale","western digital","Agrale","western digital","0.1333333333333333","0.1333333333333333"
"WekaMatchingRule","dbpedia_3104","7.1m_1788",,"0","Douglas Holding","aafes","Douglas Holding","aafes","0.06666666666666665","0.06666666666666665"
"WekaMatchingRule","dbpedia_3886","7.1m_1707",,"0","SMTC Corporation","deloitte australia","SMTC Corporation","deloitte australia","0.16666666666666663","0.16666666666666663"
"WekaMatchingRule","dbpedia_4654","7.1m_1431",,"0","Arby's","dupont pioneer","Arby's","dupont pioneer","0.0","0.0"
"WekaMatchingRule","dbpedia_1101","7.1m_263",,"0","Bank of the West","new york life insurance company","Bank of the West","new york life insurance company","0.19354838709677424","0.19354838709677424"
"WekaMatchingRule","dbpedia_5567","7.1m_490",,"0","Maeda Corporation","lear corporation","Maeda Corporation","lear corporation","0.7647058823529411","0.7647058823529411"
"WekaMatchingRule","dbpedia_2355","7.1m_304",,"0","Freshpet","nissan motor corporation","Freshpet","nissan motor corporation","0.125","0.125"
"WekaMatchingRule","dbpedia_2663","7.1m_155962","0.0109375",,"Semperit","sensée","Semperit","sensée","0.25","0.25"
"WekaMatchingRule","dbpedia_3718","7.1m_849",,"0","Opinel","city of toronto","Opinel","city of toronto","0.1333333333333333","0.1333333333333333"
"WekaMatchingRule","dbpedia_3119","7.1m_99814","0.0109375",,"ViewSonic","visionit","ViewSonic","visionit","0.5555555555555556","0.5555555555555556"
"WekaMatchingRule","dbpedia_1757","7.1m_310",,"0","Bank BIC Namibia","psa peugeot citroën","Bank BIC Namibia","psa peugeot citroën","0.10526315789473684","0.10526315789473684"
"WekaMatchingRule","dbpedia_3927","7.1m_938",,"0","ATEN International","nerium international","ATEN International","nerium international","0.7","0.7"
"WekaMatchingRule","dbpedia_2662","7.1m_41026","0.0109375",,"Sasol","sanimax","Sasol","sanimax","0.2857142857142857","0.2857142857142857"
"WekaMatchingRule","dbpedia_5090","7.1m_1271",,"0","Entel (Chile)","the church of jesus christ of latter-day saints","Entel (Chile)","the church of jesus christ of latter-day saints","0.14893617021276595","0.14893617021276595"
"WekaMatchingRule","dbpedia_216","7.1m_40354","0.0109375",,"Stamps.com","stanadyne","Stamps.com","stanadyne","0.30000000000000004","0.30000000000000004"
"WekaMatchingRule","dbpedia_1234","7.1m_1932","1.0","1","Globant","globant","Globant","globant","1.0","1.0"
"WekaMatchingRule","dbpedia_2976","7.1m_268",,"0","Analogic Corporation","fluor corporation","Analogic Corporation","fluor corporation","0.65","0.65"
"WekaMatchingRule","dbpedia_6286","7.1m_923",,"0","Micro-Star International","dyncorp international","Micro-Star International","dyncorp international","0.625","0.625"
"WekaMatchingRule","dbpedia_3790","7.1m_126246","0.0109375",,"Patterson Companies","paramit corporation","Patterson Companies","paramit corporation","0.3157894736842105","0.3157894736842105"
"WekaMatchingRule","dbpedia_759","7.1m_1241",,"0","Schaeffler Group","schaeffler","Schaeffler Group","schaeffler","0.625","0.625"
"WekaMatchingRule","dbpedia_4507","7.1m_87",,"0","BNP Paribas CIB","bnp paribas","BNP Paribas CIB","bnp paribas","0.7333333333333334","0.7333333333333334"
"WekaMatchingRule","dbpedia_6900","7.1m_1310",,"0","Peene-Werft","l&t technology services limited","Peene-Werft","l&t technology services limited","0.16129032258064513","0.16129032258064513"
"WekaMatchingRule","dbpedia_305","7.1m_1103",,"0","CBB Bank","cea - commissariat à l'énergie atomique et aux énergies alternatives","CBB Bank","cea - commissariat à l'énergie atomique et aux énergies alternatives","0.05882352941176472","0.05882352941176472"
"WekaMatchingRule","dbpedia_6389","7.1m_625",,"0","Qualtrics","dimension data","Qualtrics","dimension data","0.0714285714285714","0.0714285714285714"
"WekaMatchingRule","dbpedia_866","7.1m_1177",,"0","ROMARM","wm morrison supermarkets plc","ROMARM","wm morrison supermarkets plc","0.1785714285714286","0.1785714285714286"
"WekaMatchingRule","dbpedia_2079","7.1m_1835",,"0","Hearst Communications","discovery communications","Hearst Communications","discovery communications","0.625","0.625"
"WekaMatchingRule","dbpedia_3279","7.1m_1631",,"0","SAIC Motor","menards","SAIC Motor","menards","0.0","0.0"
"WekaMatchingRule","dbpedia_4621","7.1m_628",,"0","PhysAssist Scribes","mapfre","PhysAssist Scribes","mapfre","0.16666666666666663","0.16666666666666663"
"WekaMatchingRule","dbpedia_3587","7.1m_114063","0.0109375",,"Bertelsmann","besam","Bertelsmann","besam","0.36363636363636365","0.36363636363636365"
"WekaMatchingRule","dbpedia_4222","7.1m_17722","0.0109375",,"FrieslandCampina","freshersworld.com","FrieslandCampina","freshersworld.com","0.17647058823529416","0.17647058823529416"
"WekaMatchingRule","dbpedia_1043","7.1m_1999",,"0","Change Healthcare","sharp healthcare","Change Healthcare","sharp healthcare","0.7647058823529411","0.7647058823529411"
"WekaMatchingRule","dbpedia_1307","7.1m_480","1.0","1","Technip","technip","Technip","technip","1.0","1.0"
"WekaMatchingRule","dbpedia_5615","7.1m_905",,"0","P. C. Richard & Son","coles","P. C. Richard & Son","coles","0.10526315789473684","0.10526315789473684"
"WekaMatchingRule","dbpedia_1351","7.1m_817",,"0","Auburn National Bancorporation","propia","Auburn National Bancorporation","propia","0.1333333333333333","0.1333333333333333"
"WekaMatchingRule","dbpedia_2189","7.1m_1024",,"0","Aramark","canadian armed forces | forces armées canadiennes","Aramark","canadian armed forces | forces armées canadiennes","0.10204081632653061","0.10204081632653061"
"WekaMatchingRule","dbpedia_652","7.1m_1033",,"0","TEAC Corporation","kmart corporation","TEAC Corporation","kmart corporation","0.7647058823529411","0.7647058823529411"
"WekaMatchingRule","dbpedia_5955","7.1m_36455","0.0109375",,"Artnet","armor","Artnet","armor","0.33333333333333337","0.33333333333333337"
"WekaMatchingRule","dbpedia_1395","7.1m_1792",,"0","SIFCO Industries","shaw industries","SIFCO Industries","shaw industries","0.75","0.75"
"WekaMatchingRule","dbpedia_4198","7.1m_74",,"0","Nutreco","ge","Nutreco","ge","0.1428571428571429","0.1428571428571429"
"WekaMatchingRule","dbpedia_6364","7.1m_566",,"0","Azomureș","rio tinto","Azomureș","rio tinto","0.11111111111111116","0.11111111111111116"
"WekaMatchingRule","dbpedia_1692","7.1m_967",,"0","Allergan, Inc.","coty","Allergan, Inc.","coty","0.0","0.0"
"WekaMatchingRule","dbpedia_1339","7.1m_192","1.0","1","Eskom","eskom","Eskom","eskom","1.0","1.0"
"WekaMatchingRule","dbpedia_691","7.1m_177",,"0","AF Group","ikea group","AF Group","ikea group","0.6","0.6"
"WekaMatchingRule","dbpedia_2340","7.1m_1550","1.0","1","Chick-fil-A","chick-fil-a","Chick-fil-A","chick-fil-a","1.0","1.0"
"WekaMatchingRule","dbpedia_3394","7.1m_1901",,"0","GfK","geen meer","GfK","geen meer","0.11111111111111116","0.11111111111111116"
"WekaMatchingRule","dbpedia_2046","7.1m_1926",,"0","Acosta Sales & Marketing","fearless fly","Acosta Sales & Marketing","fearless fly","0.20833333333333337","0.20833333333333337"
"WekaMatchingRule","dbpedia_4891","7.1m_920",,"0","Marks & Spencer","dominion","Marks & Spencer","dominion","0.06666666666666665","0.06666666666666665"
"WekaMatchingRule","dbpedia_4010","7.1m_1638",,"0","Ranhill Utilities Berhad","ptcl","Ranhill Utilities Berhad","ptcl","0.08333333333333337","0.08333333333333337"
"WekaMatchingRule","dbpedia_3629","7.1m_16235","0.0109375",,"Banorte","basix","Banorte","basix","0.2857142857142857","0.2857142857142857"
"WekaMatchingRule","dbpedia_4113","7.1m_891",,"0","Coop Norden","etihad airways","Coop Norden","etihad airways","0.1428571428571429","0.1428571428571429"
"WekaMatchingRule","dbpedia_1302","7.1m_1251",,"0","TD Securities","my own","TD Securities","my own","0.07692307692307687","0.07692307692307687"
"WekaMatchingRule","dbpedia_1389","7.1m_1680",,"0","SMC Corporation","visteon corporation","SMC Corporation","visteon corporation","0.6842105263157895","0.6842105263157895"
"WekaMatchingRule","dbpedia_6917","7.1m_254","1.0","1","Telstra","telstra","Telstra","telstra","1.0","1.0"
"WekaMatchingRule","dbpedia_6158","7.1m_204","1.0","1","FedEx Express","fedex express","FedEx Express","fedex express","1.0","1.0"
"WekaMatchingRule","dbpedia_3778","7.1m_1327",,"0","Mazars","opentext","Mazars","opentext","0.0","0.0"
"WekaMatchingRule","dbpedia_5681","7.1m_1219",,"0","Mercyhealth","societe generale corporate and investment banking - sgcib","Mercyhealth","societe generale corporate and investment banking - sgcib","0.10526315789473684","0.10526315789473684"
"WekaMatchingRule","dbpedia_1152","7.1m_846",,"0","ICF International","caci international inc","ICF International","caci international inc","0.6818181818181819","0.6818181818181819"
"WekaMatchingRule","dbpedia_3927","7.1m_1250",,"0","ATEN International","harman international","ATEN International","harman international","0.8","0.8"
"WekaMatchingRule","dbpedia_1322","7.1m_719",,"0","4INFO","infor","4INFO","infor","0.6","0.6"
"WekaMatchingRule","dbpedia_5572","7.1m_926",,"0","LiuGong","otis elevator company","LiuGong","otis elevator company","0.1428571428571429","0.1428571428571429"
"WekaMatchingRule","dbpedia_1626","7.1m_124616","0.0109375",,"Corel","comunique-se","Corel","comunique-se","0.25","0.25"
"WekaMatchingRule","dbpedia_2905","7.1m_147853","0.0109375",,"Corteva","counselling","Corteva","counselling","0.2727272727272727","0.2727272727272727"
"WekaMatchingRule","dbpedia_4881","7.1m_93064","0.0109375",,"Sibplaz","sirris","Sibplaz","sirris","0.2857142857142857","0.2857142857142857"
"WekaMatchingRule","dbpedia_5335","7.1m_161812","0.0109375",,"Unicharm","universitetsforlaget","Unicharm","universitetsforlaget","0.19999999999999996","0.19999999999999996"
"WekaMatchingRule","dbpedia_6623","7.1m_186",,"0","Crédit Mutuel","jacobs","Crédit Mutuel","jacobs","0.0","0.0"
"WekaMatchingRule","dbpedia_6394","7.1m_142806","0.0109375",,"SaskPower","sagat","SaskPower","sagat","0.2222222222222222","0.2222222222222222"
"WekaMatchingRule","dbpedia_1301","7.1m_1378",,"0","Perdigão S.A.","nav","Perdigão S.A.","nav","0.07692307692307687","0.07692307692307687"
"WekaMatchingRule","dbpedia_2689","7.1m_1699",,"0","Disco Corporation","sabre corporation","Disco Corporation","sabre corporation","0.7058823529411764","0.7058823529411764"
"WekaMatchingRule","dbpedia_6857","7.1m_1430","1.0","1","BDO USA, LLP","bdo usa, llp","BDO USA, LLP","bdo usa, llp","1.0","1.0"
"WekaMatchingRule","dbpedia_1411","7.1m_676",,"0","Actuate Corporation","bechtel corporation","Actuate Corporation","bechtel corporation","0.6842105263157895","0.6842105263157895"
"WekaMatchingRule","dbpedia_2306","7.1m_506",,"0","King Pharmaceuticals","teva pharmaceuticals","King Pharmaceuticals","teva pharmaceuticals","0.8","0.8"
"WekaMatchingRule","dbpedia_5659","7.1m_26",,"0","Maxar Technologies","wipro technologies","Maxar Technologies","wipro technologies","0.7222222222222222","0.7222222222222222"
"WekaMatchingRule","dbpedia_1467","7.1m_454","1.0","1","Sun Life Financial","sun life financial","Sun Life Financial","sun life financial","1.0","1.0"
"WekaMatchingRule","dbpedia_4219","7.1m_810",,"0","GKN","any company","GKN","any company","0.09090909090909094","0.09090909090909094"
"WekaMatchingRule","dbpedia_3542","7.1m_32138","0.0109375",,"Kistefos","kidzania","Kistefos","kidzania","0.25","0.25"
"WekaMatchingRule","dbpedia_6466","7.1m_117","0.0109375","0","Genesis HealthCare","ge healthcare","Genesis HealthCare","ge healthcare","0.7222222222222222","0.7222222222222222"
"WekaMatchingRule","dbpedia_4449","7.1m_1871",,"0","Karnaphuli Group","university of waterloo","Karnaphuli Group","university of waterloo","0.13636363636363635","0.13636363636363635"
"WekaMatchingRule","dbpedia_1689","7.1m_1242","1.0","1","Analog Devices","analog devices","Analog Devices","analog devices","1.0","1.0"
"WekaMatchingRule","dbpedia_1475","7.1m_749",,"0","Marsh (company)","uc davis","Marsh (company)","uc davis","0.1333333333333333","0.1333333333333333"
"WekaMatchingRule","dbpedia_698","7.1m_6",,"0","Wavefront Technology Solutions","cognizant technology solutions","Wavefront Technology Solutions","cognizant technology solutions","0.7666666666666666","0.7666666666666666"
"WekaMatchingRule","dbpedia_507","7.1m_1897",,"0","F5, Inc.","ssm health care","F5, Inc.","ssm health care","0.1333333333333333","0.1333333333333333"
"WekaMatchingRule","dbpedia_3862","7.1m_1630","1.0","1","Asurion","asurion","Asurion","asurion","1.0","1.0"
"WekaMatchingRule","dbpedia_4377","7.1m_1374",,"0","WPX Energy","xcel energy","WPX Energy","xcel energy","0.6363636363636364","0.6363636363636364"
"WekaMatchingRule","dbpedia_6296","7.1m_1174",,"0","TF1 Group","assurant","TF1 Group","assurant","0.11111111111111116","0.11111111111111116"
"WekaMatchingRule","dbpedia_6062","7.1m_1200",,"0","DnB NORD","florida state university","DnB NORD","florida state university","0.16666666666666663","0.16666666666666663"
"WekaMatchingRule","dbpedia_6182","7.1m_160015","0.0109375",,"IMIDRO","imet","IMIDRO","imet","0.33333333333333337","0.33333333333333337"
"WekaMatchingRule","dbpedia_5823","7.1m_316",,"0","EFunds Corporation","ncr corporation","EFunds Corporation","ncr corporation","0.7222222222222222","0.7222222222222222"
"WekaMatchingRule","dbpedia_6223","7.1m_1805",,"0","Solvay Indupa","milli eğitim","Solvay Indupa","milli eğitim","0.15384615384615385","0.15384615384615385"
"WekaMatchingRule","dbpedia_4091","7.1m_1114","1.0","1","Buffalo Wild Wings","buffalo wild wings","Buffalo Wild Wings","buffalo wild wings","1.0","1.0"
"WekaMatchingRule","dbpedia_3119","7.1m_3291","0.0109375",,"ViewSonic","vipkid","ViewSonic","vipkid","0.33333333333333337","0.33333333333333337"
"WekaMatchingRule","dbpedia_917","7.1m_1947",,"0","Nippon Kayaku","tenneco","Nippon Kayaku","tenneco","0.07692307692307687","0.07692307692307687"
"WekaMatchingRule","dbpedia_2053","7.1m_1327",,"0","Advanced Computer Techniques","opentext","Advanced Computer Techniques","opentext","0.1785714285714286","0.1785714285714286"
